,Source Account,Text,Date,Compound Score,Positive Score,Neutral Score,Negative Score
77,BBC,"RT @BBC6Music: 🎬 Let's settle this, what's the greatest ever movie soundtrack or score?

This Sunday from 6-8pm #NP6Music is warming up for…",2018-03-04 12:55:43+00:00,0.7003,0.225,0.775,0.0
78,BBC,🎬 An aspiring writer decides to focus on the story of Mississippi's black maids - much to the consternation of her… https://t.co/bDLqgAXBfk,2018-03-04 12:33:04+00:00,0.0,0.0,1.0,0.0
79,BBC,"Feeding time! 🍴🦈
#AmazingHotels https://t.co/SnOXnczSAF",2018-03-04 12:00:07+00:00,0.0,0.0,1.0,0.0
80,BBC,"RT @BBCEarth: In some parts of the ocean, it’s estimated that there are over half a million pieces of plastic for every square kilometre
#B…",2018-03-04 11:54:09+00:00,0.0,0.0,1.0,0.0
81,BBC,Sir Roger Bannister: First man to run a mile in under four minutes dies at 88. https://t.co/CpLdZchwqi https://t.co/l7ujJ3kHE6,2018-03-04 11:34:05+00:00,0.0,0.0,1.0,0.0
82,BBC,❤️👏 Two-year-old Daisy is a little litter-picking hero. https://t.co/EiYuQkQUlU,2018-03-04 11:00:02+00:00,0.5141,0.322,0.678,0.0
83,BBC,Would you be able to resist this perfect layer of snow? 😂❄️🌨https://t.co/36rTZveWl5,2018-03-04 10:33:01+00:00,0.657,0.285,0.715,0.0
84,BBC,"🍳🥓 Before you fry up your full English this morning, did you know just 1.5 sausages could reduce your lifespan by 3… https://t.co/TXZAcIZKVH",2018-03-04 09:30:03+00:00,0.0,0.0,1.0,0.0
85,BBC,"RT @BBCRadio4: 🎧 Looking for a new podcast?
📻 Loads of great ideas right here...
https://t.co/DJbWsiWc2D",2018-03-03 21:21:40+00:00,0.6249,0.255,0.745,0.0
86,BBC,RT @bbcthree: Your regular reminder that Louis Theroux is a national treasure. https://t.co/vxTqbCttuQ,2018-03-03 19:36:06+00:00,0.296,0.167,0.833,0.0
87,BBC,🎧😎 Some people just don't want to stop raving. https://t.co/agXVmmgVKZ,2018-03-03 19:00:05+00:00,0.1695,0.17,0.72,0.11
88,BBC,"""You can’t dress it up. I said: ‘Mummy’s died’""

💔 Sky Sports anchor @SimonThomasSky, who lost his wife to cancer o… https://t.co/63Q2Wb37oX",2018-03-03 18:00:16+00:00,-0.7717,0.0,0.729,0.271
89,BBC,"RT @BBCWorld: Come on Eileen. 👏👏👏

https://t.co/KLrG8nMMJl",2018-03-03 17:58:00+00:00,0.0,0.0,1.0,0.0
90,BBC,RT @BBCFood: CHOCOLATE CAKE KLAXON 📣 https://t.co/u1wNGs8Vtm https://t.co/UOi707IOaG,2018-03-03 17:57:56+00:00,0.0,0.0,1.0,0.0
91,BBC,"RT @BBCBreaking: One person suffers ""self-inflicted gun shot wound"" outside the White House, US Secret Service says https://t.co/Bv5sB11BSC",2018-03-03 17:46:46+00:00,-0.6705,0.0,0.744,0.256
92,BBC,❤️ A mum's tribute to her son Tristan who has Asperger's syndrome. https://t.co/LTZ02FX24V,2018-03-03 17:00:03+00:00,0.0,0.0,1.0,0.0
93,BBC,"💀 Less than one-10th of 1% of all species that have ever lived became fossils. 

But from skipping a coffin to avoi… https://t.co/20s85EmMhJ",2018-03-03 16:00:08+00:00,0.0,0.0,1.0,0.0
94,BBC,"RT @bbcpress: 📻 📖 @IanMcKellen, @francesbarber13 and Simon Russell Beale star in a new adaptation of #ParadiseLost @BBCRadio4 - https://t.c…",2018-03-03 15:26:56+00:00,0.0,0.0,1.0,0.0
95,BBC,RT @BBCFOUR: One of the most inspiring stories in human history. Masters of the Pacific Coast: The Tribes of the American Northwest. Tonigh…,2018-03-03 15:26:39+00:00,0.4754,0.123,0.877,0.0
96,BBC,RT @BBC100women: For a film to pass the Bechdel Test it needs to feature two women 👭 talking to each other 🗣️ about something other than a…,2018-03-03 15:07:50+00:00,0.0,0.0,1.0,0.0
97,BBC,RT @bbcweather: Some parts of the UK have seen freezing rain in the last 24 hours - a beautiful but dangerous weather phenomenon. https://t…,2018-03-03 15:07:40+00:00,-0.4404,0.091,0.709,0.2
98,BBC,'There is no such thing as cheap seafood because it comes at a price we can't ever repay.' https://t.co/8tCZay8iOz,2018-03-03 15:00:07+00:00,-0.296,0.0,0.885,0.115
99,BBC,"Zig-A-Zig Whaaaaa?
How scary is your knowledge of the Spice Girls? 
👉 https://t.co/JZAjDNrldQ https://t.co/FXy5nVK7nj",2018-03-03 13:30:04+00:00,-0.5514,0.0,0.771,0.229
100,CBS,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",2018-03-06 18:10:59+00:00,0.6705,0.244,0.756,0.0
101,CBS,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",2018-03-05 22:16:43+00:00,0.3818,0.167,0.833,0.0
102,CBS,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",2018-03-04 08:05:26+00:00,0.4404,0.116,0.884,0.0
103,CBS,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",2018-03-03 20:55:20+00:00,0.0,0.0,1.0,0.0
104,CBS,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",2018-03-02 22:30:01+00:00,0.7096,0.247,0.753,0.0
105,CBS,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",2018-03-02 20:30:01+00:00,0.7096,0.282,0.718,0.0
106,CBS,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",2018-03-02 18:45:00+00:00,0.4939,0.151,0.849,0.0
107,CBS,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,2018-03-01 18:59:01+00:00,-0.6981,0.0,0.79,0.21
108,CBS,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",2018-03-01 18:12:57+00:00,0.4547,0.159,0.749,0.092
109,CBS,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,2018-03-01 18:11:50+00:00,0.8591,0.538,0.462,0.0
110,CBS,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,2018-03-01 18:10:50+00:00,0.4885,0.234,0.615,0.151
111,CBS,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",2018-03-01 14:36:21+00:00,0.5994,0.178,0.822,0.0
112,CBS,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",2018-03-01 14:29:20+00:00,0.7717,0.325,0.675,0.0
113,CBS,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ",2018-03-01 14:15:29+00:00,0.6908,0.275,0.725,0.0
114,CBS,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01",2018-03-01 13:50:11+00:00,0.0,0.0,1.0,0.0
115,CBS,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA,2018-03-01 01:04:52+00:00,0.0,0.0,1.0,0.0
116,CBS,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…",2018-02-28 19:56:58+00:00,0.0,0.0,1.0,0.0
117,CBS,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…",2018-02-28 19:08:30+00:00,0.4404,0.116,0.884,0.0
118,CBS,RT @LivinBiblically: The fun continues on Facebook! The #LivingBiblically cast is live to talk about tonight’s premiere. Tune in here: http…,2018-02-27 03:23:47+00:00,0.5562,0.152,0.848,0.0
119,CBS,"RT @KevinCanWaitCBS: Can you get all the way through these #KevinCanWait bloopers without laughing?! @KevinJames,@LeahRemini and the rest o…",2018-02-26 22:50:32+00:00,0.0,0.0,1.0,0.0
120,CBS,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",2018-03-06 18:10:59+00:00,0.6705,0.244,0.756,0.0
121,CBS,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",2018-03-05 22:16:43+00:00,0.3818,0.167,0.833,0.0
122,CBS,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",2018-03-04 08:05:26+00:00,0.4404,0.116,0.884,0.0
123,CBS,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",2018-03-03 20:55:20+00:00,0.0,0.0,1.0,0.0
124,CBS,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",2018-03-02 22:30:01+00:00,0.7096,0.247,0.753,0.0
125,CBS,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",2018-03-02 20:30:01+00:00,0.7096,0.282,0.718,0.0
126,CBS,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",2018-03-02 18:45:00+00:00,0.4939,0.151,0.849,0.0
127,CBS,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,2018-03-01 18:59:01+00:00,-0.6981,0.0,0.79,0.21
128,CBS,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",2018-03-01 18:12:57+00:00,0.4547,0.159,0.749,0.092
129,CBS,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,2018-03-01 18:11:50+00:00,0.8591,0.538,0.462,0.0
130,CBS,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,2018-03-01 18:10:50+00:00,0.4885,0.234,0.615,0.151
131,CBS,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",2018-03-01 14:36:21+00:00,0.5994,0.178,0.822,0.0
132,CBS,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",2018-03-01 14:29:20+00:00,0.7717,0.325,0.675,0.0
133,CBS,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ",2018-03-01 14:15:29+00:00,0.6908,0.275,0.725,0.0
134,CBS,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01",2018-03-01 13:50:11+00:00,0.0,0.0,1.0,0.0
135,CBS,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA,2018-03-01 01:04:52+00:00,0.0,0.0,1.0,0.0
136,CBS,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…",2018-02-28 19:56:58+00:00,0.0,0.0,1.0,0.0
137,CBS,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…",2018-02-28 19:08:30+00:00,0.4404,0.116,0.884,0.0
138,CBS,RT @LivinBiblically: The fun continues on Facebook! The #LivingBiblically cast is live to talk about tonight’s premiere. Tune in here: http…,2018-02-27 03:23:47+00:00,0.5562,0.152,0.848,0.0
